70, Murcia, Betis, 8, 5, 3, 8, 15, 7, 6, 7, 8, 0.33333334, 0.33333334, 0, 0, X
71, Betis, Racing, 6, 11, -5, 16, 9, 7, 8, 5, 7, 0.33333334, 0.0, 1, 1, X
72, Deportivo, Valencia, 8, 15, -7, 14, 4, 4, 8, 10, 9, 0.33333334, 0.25, 2, 4, 2
73, Villarreal, Barcelona, 15, 17, -2, 3, 2, 11, 8, 16, 4, 0.6666667, 0.75, 3, 1, 1
74, Getafe, Murcia, 2, 9, -7, 19, 10, 5, 13, 7, 6, 0.0, 0.0, 2, 0, 1
75, Espanyol, R. Madrid, 13, 19, -6, 5, 1, 10, 8, 16, 3, 0.6666667, 0.5, 2, 1, 1
76, Levante, Sevilla, 1, 6, -5, 20, 15, 3, 17, 11, 10, 0.0, 0.0, 0, 2, 2
77, At. Madrid, Zaragoza, 11, 11, 0, 6, 8, 11, 7, 11, 9, 0.6666667, 0.25, 4, 0, 1
78, Almería, Osasuna, 8, 8, 0, 12, 11, 8, 8, 8, 7, 0.0, 0.5, 2, 0, 1
79, Recreativo, Mallorca, 8, 11, -3, 13, 7, 7, 10, 13, 10, 0.33333334, 0.25, 0, 2, 2
80, Valladolid, Athletic, 5, 6, -1, 18, 17, 8, 15, 5, 9, 0.0, 0.25, 1, 2, 2
81, Sevilla, Valencia, 9, 18, -9, 11, 3, 13, 10, 14, 11, 0.5, 0.33333334, 3, 0, 1
82, Athletic, Betis, 9, 7, 2, 13, 17, 7, 10, 8, 9, 0.0, 0.5, 0, 0, X
83, Zaragoza, Villarreal, 11, 18, -7, 10, 2, 11, 13, 14, 9, 0.75, 0.0, 4, 1, 1
84, Racing, Getafe, 12, 5, 7, 8, 18, 6, 8, 7, 13, 0.5, 0.25, 2, 0, 1
85, Mallorca, Espanyol, 14, 16, -2, 7, 5, 15, 10, 12, 9, 0.75, 0.25, 2, 2, X
86, Barcelona, Almería, 17, 11, 6, 4, 9, 17, 7, 10, 8, 1.0, 0.25, 2, 0, 1
87, Levante, At. Madrid, 1, 14, -13, 20, 6, 3, 19, 15, 7, 0.0, 0.0, 0, 1, 2
88, R. Madrid, Deportivo, 19, 8, 11, 1, 16, 17, 5, 6, 12, 1.0, 0.5, 3, 1, 1
89, Osasuna, Valladolid, 8, 5, 3, 14, 19, 8, 9, 9, 17, 0.6666667, 0.0, 2, 2, X
90, Murcia, Recreativo, 9, 8, 1, 12, 15, 7, 8, 7, 12, 0.25, 0.25, 1, 0, 1
91, Betis, Osasuna, 8, 9, -1, 15, 14, 8, 9, 10, 11, 0.25, 0.0, 0, 3, 2
